Date,IND_PROD_US,UN_RATE_US
2000-01-01,94.1758,4.0
2000-02-01,94.4557,4.1
2000-03-01,94.7980,4.0
2000-04-01,95.4808,3.8
2000-05-01,95.6435,4.0
2000-06-01,95.7353,4.0
2000-07-01,95.5906,4.0
2000-08-01,95.3112,4.1
2000-09-01,95.6790,3.9
2000-10-01,95.3970,3.9
2000-11-01,95.4229,3.9
2000-12-01,95.1573,3.9
2001-01-01,94.5448,4.2
2001-02-01,93.9398,4.2
2001-03-01,93.7201,4.3
2001-04-01,93.4469,4.4
2001-05-01,92.8760,4.3
2001-06-01,92.3208,4.5
2001-07-01,91.7933,4.6
2001-08-01,91.6795,4.9
2001-09-01,91.3289,5.0
2001-10-01,90.9315,5.3
2001-11-01,90.4860,5.5
2001-12-01,90.5073,5.7
2002-01-01,91.0794,5.7
2002-02-01,91.0553,5.7
2002-03-01,91.7980,5.7
2002-04-01,92.1771,5.9
2002-05-01,92.5668,5.8
2002-06-01,93.4476,5.8
2002-07-01,93.2237,5.8
2002-08-01,93.2359,5.7
2002-09-01,93.3654,5.7
2002-10-01,93.0834,5.7
2002-11-01,93.5693,5.9
2002-12-01,93.1103,6.0
2003-01-01,93.8198,5.8
2003-02-01,93.9532,5.9
2003-03-01,93.7358,5.9
2003-04-01,93.0657,6.0
2003-05-01,93.0918,6.1
2003-06-01,93.2476,6.3
2003-07-01,93.6582,6.2
2003-08-01,93.5246,6.1
2003-09-01,94.0751,6.1
2003-10-01,94.2079,6.0
2003-11-01,94.9338,5.8
2003-12-01,94.8662,5.7
2004-01-01,95.1085,5.7
2004-02-01,95.6847,5.6
2004-03-01,95.2088,5.8
2004-04-01,95.6385,5.6
2004-05-01,96.3966,5.6
2004-06-01,95.6019,5.6
2004-07-01,96.3385,5.5
2004-08-01,96.4095,5.4
2004-09-01,96.4907,5.4
2004-10-01,97.4094,5.5
2004-11-01,97.6137,5.4
2004-12-01,98.3318,5.4
2005-01-01,98.7845,5.3
2005-02-01,99.4639,5.4
2005-03-01,99.3061,5.2
2005-04-01,99.4734,5.2
2005-05-01,99.6033,5.1
2005-06-01,99.9853,5.0
2005-07-01,99.6692,5.0
2005-08-01,99.9435,4.9
2005-09-01,98.0779,5.0
2005-10-01,99.3149,5.0
2005-11-01,100.3216,5.0
2005-12-01,100.9437,4.9
2006-01-01,101.0627,4.7
2006-02-01,101.0669,4.8
2006-03-01,101.2751,4.7
2006-04-01,101.6813,4.7
2006-05-01,101.5790,4.6
2006-06-01,101.9693,4.6
2006-07-01,101.9319,4.7
2006-08-01,102.3327,4.7
